binarize,average,distribution,sample_size,stat,pvalue
True,True,equal,20.0,0.007228591216964295,0.3166
True,True,equal,20.0,0.019274918075982916,0.2397
True,True,equal,20.0,-0.09242024711617684,0.9727
True,True,equal,20.0,-0.012444565543028077,0.426
True,True,equal,20.0,-0.03197308662265675,0.4687
True,True,equal,20.0,-0.06250185575288487,0.9289
True,True,equal,20.0,-0.044117584289131116,0.7627
True,True,equal,20.0,0.0017621829345470625,0.3202
True,True,equal,20.0,0.14602871872296536,0.0648
True,True,equal,20.0,-0.06579764313808169,0.8417
True,True,equal,20.0,-0.025268094846942053,0.4403
True,True,equal,20.0,0.015842687681459137,0.3126
True,True,equal,20.0,-0.0714734749120993,0.9102
True,True,equal,20.0,-0.02921380607864967,0.4803
True,True,equal,20.0,-0.02498319214277429,0.6692
True,True,equal,20.0,0.14594595239499067,0.0689
True,True,equal,20.0,0.12023994439052395,0.0732
True,True,equal,20.0,-0.017904924896093098,0.5635
True,True,equal,20.0,0.012763524851222322,0.3574
True,True,equal,20.0,0.11270852347907565,0.0932
True,True,equal,20.0,-0.05946456918313388,1.0
True,True,equal,20.0,0.035463043710764065,0.2394
True,True,equal,20.0,0.03032392174315617,0.2662
True,True,equal,20.0,-0.026961158325058097,0.6266
True,True,equal,20.0,0.031439178385522314,0.2755
True,True,equal,20.0,-0.07028845828593087,0.8676
True,True,equal,20.0,0.11326350462298965,0.1059
True,True,equal,20.0,-0.027702503675876542,0.5719
True,True,equal,20.0,0.01747837303339739,0.3175
True,True,equal,20.0,-0.07886991716894534,0.9544
True,True,same_mean,20.0,-0.010914244494841787,0.273
True,True,same_mean,20.0,-0.0657138174981535,0.9449
True,True,same_mean,20.0,-0.006276183879422137,0.4347
True,True,same_mean,20.0,-0.01604848221160415,0.5031
True,True,same_mean,20.0,0.22064731389720055,0.0357
True,True,same_mean,20.0,-0.029260451613684613,0.6444
True,True,same_mean,20.0,-0.04592387297476242,0.7625
True,True,same_mean,20.0,0.030720285685757038,0.2454
True,True,same_mean,20.0,0.2011405010649463,0.038
True,True,same_mean,20.0,0.08933583938656259,0.1104
True,True,same_mean,20.0,0.00966234939601248,0.3148
True,True,same_mean,20.0,-0.0612863006674209,0.8695
True,True,same_mean,20.0,0.16031106902657555,0.055999999999999994
True,True,same_mean,20.0,0.08843207750383479,0.0982
True,True,same_mean,20.0,0.07638779348025662,0.1373
True,True,same_mean,20.0,0.08429724012941227,0.1505
True,True,same_mean,20.0,0.24498022830576785,0.0323
True,True,same_mean,20.0,-0.02216554856608372,0.4693
True,True,same_mean,20.0,-0.023686985969389368,0.3741
True,True,same_mean,20.0,-0.07129161407581455,0.9855
True,True,same_mean,20.0,0.11458717967181475,0.0731
True,True,same_mean,20.0,-0.05178825534798821,0.8009999999999999
True,True,same_mean,20.0,-0.04735855244606866,0.5953
True,True,same_mean,20.0,0.09401890996940623,0.1151
True,True,same_mean,20.0,-0.08254349711039298,0.9955
True,True,same_mean,20.0,0.01661644945642698,0.2767
True,True,same_mean,20.0,-0.0627353751593392,0.7877
True,True,same_mean,20.0,0.0010180037349125268,0.3786
True,True,same_mean,20.0,0.05912819295416994,0.1317
True,True,same_mean,20.0,-0.026508145880874516,0.5859
True,True,same_mean,20.0,-0.010249693375418669,0.4431
True,True,same_mean,20.0,-0.04806904376805456,0.7926
True,True,same_mean,20.0,0.1617876695456364,0.048
True,True,same_mean,20.0,0.0045410740970267295,0.3666
True,True,same_mean,20.0,0.030479301736403314,0.1625
True,True,same_mean,20.0,0.11650531776607055,0.0815
True,True,same_mean,20.0,0.0746770107683868,0.1048
True,True,same_mean,20.0,-0.030283784171966626,0.6153
True,True,same_mean,20.0,0.1495017273942476,0.0683
True,True,same_mean,20.0,-0.012766579502302866,0.5285
True,True,same_mean,20.0,-0.057620528294474935,0.8562
True,True,same_mean,20.0,0.2985100264603982,0.0131
True,True,same_mean,20.0,-0.06988153168768857,0.9667
True,True,same_mean,20.0,-0.07959433464721034,0.9587
True,True,same_mean,20.0,0.0843113598280606,0.1322
True,True,same_mean,20.0,-0.0598141283408646,0.9259999999999999
True,True,same_mean,20.0,0.1830389585403772,0.0424
True,True,same_mean,20.0,0.16672234637447236,0.0553
True,True,same_mean,20.0,0.008638545767644659,0.3016
True,True,same_mean,20.0,-0.04137022329434163,0.7081
True,True,equal,30.0,0.018823014824554576,0.2209
True,True,equal,30.0,0.10195702304158978,0.0565
True,True,equal,30.0,-0.04249177745951729,0.8633
True,True,equal,30.0,-0.03963981758803982,0.7752
True,True,equal,30.0,-0.007986961136048869,0.4263
True,True,equal,30.0,-0.02305648943222546,0.6586
True,True,equal,30.0,-0.021359418493092287,0.5611
True,True,equal,30.0,-0.043531661242167716,0.9359999999999999
True,True,equal,30.0,0.4140227762282776,0.0001
True,True,equal,30.0,-0.020558435735001324,0.5831
True,True,equal,30.0,0.0436313832618875,0.1594
True,True,equal,30.0,0.08024556697197853,0.0723
True,True,equal,30.0,0.06570227674693936,0.0998
True,True,equal,30.0,-0.036686322672238064,0.8227
True,True,equal,30.0,0.068471207809042,0.0955
True,True,equal,30.0,-0.013182600470625564,0.4835
True,True,equal,30.0,-0.010966395202754949,0.4413
True,True,equal,30.0,0.02284630883773073,0.2092
True,True,equal,30.0,0.005589435926747739,0.3671
True,True,equal,30.0,0.05137182276259949,0.1297
True,True,equal,30.0,-0.039102083217601,0.8804
True,True,equal,30.0,0.04008632944559968,0.1589
True,True,equal,30.0,0.016578547979845426,0.2872
True,True,equal,30.0,-0.034796930990107354,0.8071
True,True,equal,30.0,0.023313504444896948,0.2211
True,True,equal,30.0,-0.03691401819160559,0.8561
True,True,equal,30.0,0.021753606537653708,0.2685
True,True,equal,30.0,0.038186940031845466,0.1527
True,True,equal,30.0,-0.0029256907576057306,0.4475
True,True,equal,30.0,0.04896183579118067,0.1238
True,True,equal,30.0,0.016846829281426078,0.2394
True,True,equal,30.0,-0.020809356908676243,0.6061
True,True,equal,30.0,0.05268324523603148,0.1298
