binarize,average,distribution,sample_size,stat,pvalue
True,True,diff_mean,30.0,0.3729775336949895,0.0003
True,True,diff_mean,30.0,0.4154976917657554,0.0004
True,True,diff_mean,30.0,0.5575351148978529,0.0001
True,True,diff_mean,30.0,0.3518528033152344,0.0004
True,True,diff_mean,30.0,0.5662768309165341,0.0001
True,True,diff_mean,30.0,0.5897178817070104,0.0001
True,True,diff_mean,30.0,0.6396259269787581,0.0001
True,True,diff_mean,30.0,0.4268218879837566,0.0001
True,True,diff_mean,30.0,0.3216252556043659,0.0014
True,True,diff_mean,30.0,0.3321323779970854,0.001
True,True,diff_mean,30.0,0.1518606796956582,0.0336
True,True,diff_mean,30.0,0.3288883583089755,0.0013
True,True,diff_mean,30.0,0.3997840309731893,0.0003
True,True,diff_mean,30.0,0.4267185839150704,0.0001
True,True,diff_mean,30.0,0.3589363413903173,0.0003
True,True,diff_mean,30.0,0.462585652923239,0.0001
True,True,diff_mean,30.0,0.19563123842325558,0.0172
True,True,diff_mean,30.0,0.6526088393397291,0.0001
True,True,diff_mean,30.0,0.5687474153155772,0.0001
True,True,diff_mean,30.0,0.2745217647603258,0.0027
True,True,diff_mean,30.0,0.22946185608164413,0.0085
True,True,diff_mean,30.0,0.40160249149207927,0.0003
True,True,diff_mean,30.0,0.47548932036247105,0.0001
True,True,diff_mean,30.0,0.44101816170040675,0.0001
True,True,diff_mean,30.0,0.39597744352360326,0.0003
True,True,diff_mean,30.0,0.552865350784145,0.0001
True,True,diff_mean,30.0,0.55504527666982,0.0001
True,True,diff_mean,30.0,0.4451261585663674,0.0001
True,True,diff_mean,30.0,0.31607137122485296,0.0027
True,True,diff_mean,30.0,0.16571135939653397,0.0297
True,True,diff_mean,30.0,0.4516367756962416,0.0001
True,True,diff_mean,30.0,0.4832812328899263,0.0001
True,True,diff_mean,30.0,0.2576274694448074,0.0049
True,True,diff_mean,30.0,0.4249792533098431,0.0003
True,True,diff_mean,30.0,0.6330976933364028,0.0001
True,True,diff_mean,30.0,0.21737468791494396,0.0122
True,True,diff_mean,30.0,0.23555605775606492,0.0072
True,True,diff_mean,40.0,0.23574533973326794,0.0016
True,True,diff_mean,40.0,0.5996222778418354,0.0001
True,True,diff_mean,40.0,0.26139909004015127,0.0009
True,True,diff_mean,40.0,0.43934617070041554,0.0001
True,True,diff_mean,40.0,0.671545551533231,0.0001
True,True,diff_mean,40.0,0.3410270135940485,0.0001
True,True,diff_mean,40.0,0.27518171941156183,0.0001
True,True,diff_mean,40.0,0.3317378810451843,0.0004
True,True,diff_mean,40.0,0.4287136175566202,0.0001
True,True,diff_mean,40.0,0.1807616310590736,0.0069
True,True,diff_mean,40.0,0.41636612022363373,0.0001
True,True,diff_mean,40.0,0.24587060756606618,0.0011
True,True,diff_mean,40.0,0.4480470983658234,0.0001
True,True,diff_mean,40.0,0.3835174531479236,0.0001
True,True,diff_mean,40.0,0.20363528055267333,0.0047
True,True,diff_mean,40.0,0.267964321633645,0.001
True,True,diff_mean,40.0,0.20666626071287367,0.0035
True,True,diff_mean,40.0,0.4199710975101087,0.0001
True,True,diff_mean,40.0,0.4682846209780359,0.0001
True,True,diff_mean,40.0,0.08818075012611232,0.0463
True,True,diff_mean,40.0,0.12956926570389232,0.0249
True,True,diff_mean,40.0,0.41956700142926445,0.0001
True,True,diff_mean,40.0,0.49379750139449224,0.0001
True,True,diff_mean,40.0,0.4183932963414888,0.0001
True,True,diff_mean,40.0,0.5688096120240799,0.0001
True,True,diff_mean,40.0,0.16768644835551733,0.0102
True,True,diff_mean,40.0,0.20743673562886117,0.004
True,True,diff_mean,40.0,0.23211322441948087,0.0015
True,True,diff_mean,40.0,0.5811393173051008,0.0001
True,True,diff_mean,40.0,0.3649017772493938,0.0001
True,True,diff_mean,40.0,0.2882460955360203,0.0005
True,True,diff_mean,40.0,0.2405013962920959,0.0014
True,True,diff_mean,40.0,0.4927857061039228,0.0001
True,True,diff_mean,40.0,0.3631856318026583,0.0002
True,True,diff_mean,40.0,0.30387852083677164,0.0003
True,True,diff_mean,40.0,0.5167321288784865,0.0001
True,True,diff_mean,40.0,0.3699183727529125,0.0001
True,True,diff_mean,40.0,0.5661609345114064,0.0001
True,True,diff_mean,40.0,0.1953005737530728,0.006
True,True,diff_mean,40.0,0.40197024129963393,0.0001
True,True,diff_mean,40.0,0.4069634933085214,0.0001
True,True,diff_mean,40.0,0.5525505280113538,0.0001
True,True,diff_mean,40.0,0.3974017395299595,0.0001
True,True,diff_mean,40.0,0.5820114314672636,0.0001
True,True,diff_mean,40.0,0.35029126375486874,0.0002
True,True,diff_mean,40.0,0.2765389918723495,0.0009
True,True,diff_mean,40.0,0.2932755836046818,0.0001
True,True,diff_mean,40.0,0.4458341479672475,0.0001
True,True,diff_mean,40.0,0.1339757287126169,0.0255
True,True,diff_mean,40.0,0.3350087389255926,0.0001
True,True,diff_mean,50.0,0.18108349580842717,0.0015
True,True,diff_mean,50.0,0.39867154791706166,0.0001
True,True,diff_mean,50.0,0.5905099936550593,0.0001
True,True,diff_mean,50.0,0.21275740983871164,0.0007
True,True,diff_mean,50.0,0.45760250989336626,0.0001
True,True,diff_mean,50.0,0.5066787963909225,0.0001
True,True,diff_mean,50.0,0.42461561832917927,0.0001
True,True,diff_mean,50.0,0.19108828752840137,0.0022
True,True,diff_mean,50.0,0.4980425117025927,0.0001
True,True,diff_mean,50.0,0.11649936983528425,0.019
True,True,diff_mean,50.0,0.4678062685713294,0.0001
True,True,diff_mean,50.0,0.34729466356803357,0.0001
True,True,diff_mean,50.0,0.4018723742789508,0.0001
True,True,diff_mean,50.0,0.22774626423778385,0.0006
True,True,diff_mean,50.0,0.3952531252398201,0.0001
True,True,diff_mean,50.0,0.4607469043317374,0.0001
True,True,diff_mean,50.0,0.39172073758404585,0.0001
True,True,diff_mean,50.0,0.34895189898965334,0.0001
True,True,diff_mean,50.0,0.5846663756612404,0.0001
True,True,diff_mean,50.0,0.29629470744454395,0.0001
True,True,diff_mean,50.0,0.18817355788195683,0.0021
True,True,diff_mean,50.0,0.40800115100346096,0.0001
True,True,diff_mean,50.0,0.4230052964357432,0.0001
True,True,diff_mean,50.0,0.49747850147717687,0.0001
True,True,diff_mean,50.0,0.544785656952164,0.0001
True,True,diff_mean,50.0,0.28405411503332395,0.0001
True,True,diff_mean,50.0,0.3712761884936244,0.0001
True,True,diff_mean,50.0,0.42502299277876227,0.0001
True,True,diff_mean,50.0,0.39569048867361467,0.0001
True,True,diff_mean,50.0,0.2579628810615573,0.0002
True,True,diff_mean,50.0,0.4183675348657892,0.0001
True,True,diff_mean,50.0,0.1159721755468647,0.0202
True,True,diff_mean,50.0,0.6001050697684859,0.0001
True,True,diff_mean,50.0,0.29021780330187036,0.0001
True,True,diff_mean,50.0,0.29564057432655977,0.0001
True,True,diff_mean,50.0,0.19653546041578007,0.002
True,True,diff_mean,50.0,0.3151768152382871,0.0001
True,True,diff_mean,50.0,0.32815303493355463,0.0001
True,True,diff_mean,50.0,0.4069744715180718,0.0001
True,True,diff_mean,50.0,0.16582552261458286,0.0031
True,True,diff_mean,50.0,0.3316422396269115,0.0001
True,True,diff_mean,50.0,0.2651739666947604,0.0001
