binarize,average,distribution,sample_size,stat,pvalue
True,True,equal,20.0,0.011996977458143026,0.302
True,True,equal,20.0,-0.0710915073871675,0.9853
True,True,equal,20.0,-0.05090020800077506,0.7911
True,True,equal,20.0,0.2550307289197282,0.0317
True,True,equal,20.0,0.011323785191389291,0.3614
True,True,same_mean,20.0,0.04290596397602955,0.2224
True,True,same_mean,20.0,0.020461060199427523,0.3415
True,True,same_mean,20.0,0.0561260327505637,0.1685
True,True,same_mean,20.0,0.1050985674851735,0.0954
True,True,same_mean,20.0,0.06958050169411252,0.1088
True,True,diff_mean,20.0,nan,1
True,True,diff_mean,20.0,nan,1
True,True,diff_mean,20.0,nan,1
True,True,diff_mean,20.0,1.0,0.0001
True,True,diff_mean,20.0,0.9834655293552932,0.0001
True,True,equal,40.0,0.007429515950777328,0.2984
True,True,equal,40.0,-0.0033600395970074214,0.4214
True,True,equal,40.0,-0.026144486421558196,0.8233
True,True,equal,40.0,-0.036455307338967784,0.9543
True,True,equal,40.0,0.008360442537143022,0.2753
True,True,same_mean,40.0,-0.04134778156206512,0.9814
True,True,same_mean,40.0,0.043070054544224114,0.1045
True,True,same_mean,40.0,-0.030164191820141417,0.8559
True,True,same_mean,40.0,-0.01151766216092646,0.4743
True,True,same_mean,40.0,0.09226530291540364,0.0386
True,True,diff_mean,40.0,0.9688488841274326,0.0001
True,True,diff_mean,40.0,0.9853872401975718,0.0001
True,True,diff_mean,40.0,0.992359982060316,0.0001
True,True,diff_mean,40.0,0.9852919541093387,0.0001
True,True,diff_mean,40.0,1.0,0.0001
True,True,equal,60.0,0.055447132634041496,0.0445
True,True,equal,60.0,-0.009874327183231276,0.5385
True,True,equal,60.0,0.018263975875650925,0.1586
True,True,equal,60.0,-0.016109878415166822,0.7501
True,True,equal,60.0,-0.011062052991186018,0.5919
True,True,same_mean,60.0,0.024552528818402686,0.1315
True,True,same_mean,60.0,0.008249097097388434,0.2692
True,True,same_mean,60.0,-0.008122776606984787,0.5444
True,True,same_mean,60.0,-0.004421716586979053,0.4493
True,True,same_mean,60.0,-0.021171641632476982,0.9087
True,True,diff_mean,60.0,0.987183657875369,0.0001
True,True,diff_mean,60.0,0.9879742639458173,0.0001
True,True,diff_mean,60.0,0.986129574570599,0.0001
True,True,diff_mean,60.0,1.0,0.0001
True,True,diff_mean,60.0,0.9912070001405231,0.0001
True,True,equal,80.0,-0.004393921537693806,0.496
True,True,equal,80.0,0.014187623106758527,0.154
