binarize,average,distribution,sample_size,stat,pvalue
True,True,equal,10.0,-0.022176638128637367,0.4049
True,True,equal,10.0,0.07664394903349399,0.2588
True,True,equal,10.0,-0.016796775328675708,0.685
True,True,equal,10.0,-0.1411081302575398,1.0
True,True,equal,10.0,0.12185435916898829,0.2765
True,True,equal,10.0,0.02123976976214371,0.2934
True,True,equal,10.0,-0.14869877059410957,0.9923
True,True,equal,10.0,0.05761659596980313,0.4262
True,True,equal,10.0,0.08241633836921337,0.3217
True,True,equal,10.0,-0.023319662230094504,0.5766
True,True,equal,10.0,0.3770028481868316,0.0457
True,True,equal,10.0,0.28274176159888204,0.1678
True,True,equal,10.0,-0.12803687993289609,0.9155
True,True,equal,10.0,-0.1338911097433009,0.6115
True,True,equal,10.0,-0.13116322453033244,1.0
True,True,equal,10.0,-0.1222222222222221,0.9223
True,True,equal,10.0,-0.03475706678180951,0.4313
True,True,equal,10.0,0.2705457830883485,0.0562
True,True,equal,10.0,-0.04605177338720005,0.4428
True,True,equal,10.0,0.1190784930203602,0.1662
True,True,same_mean,10.0,-0.09230769230769224,0.6241
True,True,same_mean,10.0,0.022116293423234595,0.3944
True,True,same_mean,10.0,0.11986139752820402,0.2081
True,True,same_mean,10.0,0.636396103067893,0.0319
True,True,same_mean,10.0,0.2236067977499784,0.1762
True,True,same_mean,10.0,0.10039682695595036,0.2553
True,True,same_mean,10.0,0.5425166581076784,0.0547
True,True,same_mean,10.0,-0.12443420336765099,0.8033
True,True,same_mean,10.0,-0.01661546326865143,0.531
True,True,same_mean,10.0,-0.019364916731036984,0.4434
True,True,same_mean,10.0,-0.0630031502362696,0.4986
True,True,same_mean,10.0,-0.12323757543866228,0.8222
True,True,same_mean,10.0,0.39201784543228424,0.0518
True,True,same_mean,10.0,-0.047809144373375634,0.3632
True,True,same_mean,10.0,0.015210603796901884,0.322
True,True,same_mean,10.0,0.08424839344525947,0.2447
True,True,same_mean,10.0,-0.10245435281108296,0.8696
True,True,same_mean,10.0,-0.05462074161309667,0.694
True,True,same_mean,10.0,0.12761189824571897,0.2047
True,True,same_mean,10.0,-2.2003157527785045e-17,0.5267
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,0.992601404817397,0.0093
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,0.9878299909779115,0.0096
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,0.9721555573347556,0.0079
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,nan,1
True,True,diff_mean,10.0,0.9887182097466193,0.0066
True,True,equal,20.0,0.034273200041911055,0.2022
True,True,equal,20.0,-0.05122918705071834,0.703
True,True,equal,20.0,-0.04642805243213331,0.7137
True,True,equal,20.0,-0.05752338661769784,0.8005
True,True,equal,20.0,-0.03747329944630983,0.6201
