binarize,average,distribution,sample_size,stat,pvalue
True,True,equal,20.0,-0.05205792062953556,0.87732
True,True,equal,20.0,0.0871023810414301,0.10701
True,True,equal,20.0,-0.05744790023779793,0.82149
True,True,equal,20.0,-0.05193997274093671,0.78686
True,True,equal,20.0,-0.06308519806136999,0.72732
True,True,same_mean,20.0,-0.024246207808344356,0.57153
True,True,same_mean,20.0,-0.047258269615145385,0.70064
True,True,same_mean,20.0,-0.06427536531391166,0.86761
True,True,same_mean,20.0,0.3041736016530173,0.01834
True,True,same_mean,20.0,-0.0642338636320466,0.77767
True,True,diff_mean,20.0,0.9864956563072445,3e-05
True,True,diff_mean,20.0,1.0,1e-05
True,True,diff_mean,20.0,0.9906101401813641,2e-05
True,True,diff_mean,20.0,1.0,1e-05
True,True,diff_mean,20.0,0.9890924532920122,2e-05
True,True,equal,40.0,-0.008139594292308032,0.46174
True,True,equal,40.0,-0.01795153600634697,0.63524
True,True,equal,40.0,-0.011300758189664587,0.53623
True,True,equal,40.0,-0.012156408960957864,0.52446
True,True,equal,40.0,-0.027705919919368,0.82076
True,True,same_mean,40.0,-0.030295184816616118,0.90581
True,True,same_mean,40.0,0.028440880368100697,0.15185
True,True,same_mean,40.0,0.1602393379112723,0.01268
True,True,same_mean,40.0,-0.033675323196896714,0.95126
True,True,same_mean,40.0,0.14093490695545693,0.0212
True,True,diff_mean,40.0,nan,1
True,True,diff_mean,40.0,0.9853872401975718,1e-05
True,True,diff_mean,40.0,0.9814171547022855,1e-05
True,True,diff_mean,40.0,0.9941219655231418,1e-05
True,True,diff_mean,40.0,0.9884019199432184,1e-05
True,True,equal,60.0,-0.00604536914802049,0.48354
True,True,equal,60.0,-0.018839114639382384,0.8165
True,True,equal,60.0,-0.024828629790821746,0.99626
True,True,equal,60.0,-0.025465999242297522,0.96515
True,True,equal,60.0,-0.008750806753534473,0.55479
True,True,same_mean,60.0,-0.013317035917253228,0.69529
True,True,same_mean,60.0,-0.004624508503124174,0.44876
True,True,same_mean,60.0,-0.011636822955761059,0.59835
True,True,same_mean,60.0,-0.014204546486741678,0.71106
True,True,same_mean,60.0,0.15100683672698484,0.00225
True,True,diff_mean,60.0,0.991368370201435,1e-05
True,True,diff_mean,60.0,0.9872644739917102,1e-05
True,True,diff_mean,60.0,0.9773098070679482,1e-05
True,True,diff_mean,60.0,0.9890086754694081,1e-05
True,True,diff_mean,60.0,0.9860004943740981,1e-05
True,True,equal,80.0,-0.004814468833558238,0.49327
